participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
5c4c5bc98897520001567f80,size,4,top_left,0,Yes,small star,2023-05-11 04:46:09,Yes,United States
5c4c5bc98897520001567f80,size,2,top_right,1,No,large rectangle,2023-05-11 04:46:09,Yes,United States
5c4c5bc98897520001567f80,size,1,bottom_right,2,Yes,small triangle,2023-05-11 04:46:09,Yes,United States
5c4c5bc98897520001567f80,size,3,bottom_left,3,No,large cross,2023-05-11 04:46:09,Yes,United States
5ea9ee70bd6e6c158af94cca,size,4,bottom_left,0,No,diamond,2023-05-11 04:48:40,Yes,United States
5ea9ee70bd6e6c158af94cca,size,1,bottom_right,1,Yes,tirangle,2023-05-11 04:48:40,Yes,United States
5ea9ee70bd6e6c158af94cca,size,2,top_right,2,No,rectangle,2023-05-11 04:48:40,Yes,United States
5ea9ee70bd6e6c158af94cca,size,3,top_left,3,Yes,square,2023-05-11 04:48:40,Yes,United States
5d89c4dd68f9d60001a21500,size,4,top_left,0,Yes,Small Star,2023-05-11 04:57:33,Yes,United States
5d89c4dd68f9d60001a21500,size,2,top_right,1,No,Big Rectangle,2023-05-11 04:57:33,Yes,United States
5d89c4dd68f9d60001a21500,size,1,bottom_right,2,Yes,Tiny Triangle,2023-05-11 04:57:33,Yes,United States
5d89c4dd68f9d60001a21500,size,3,bottom_left,3,No,Big Plus,2023-05-11 04:57:33,Yes,United States
5ddd730ffce606ce31a105d4,size,4,bottom_left,0,No,large diamond,2023-05-11 04:58:10,Yes,United States
5ddd730ffce606ce31a105d4,size,1,top_right,1,No,heart,2023-05-11 04:58:10,Yes,United States
5ddd730ffce606ce31a105d4,size,3,bottom_right,2,Yes,small cross,2023-05-11 04:58:10,Yes,United States
5ddd730ffce606ce31a105d4,size,2,top_left,3,Yes,small and thin rectangle,2023-05-11 04:58:10,Yes,United States
60b8fb32cf60b9905fb72f17,size,4,bottom_right,0,Yes,Small diamond,2023-05-11 04:59:12,Yes,United States
60b8fb32cf60b9905fb72f17,size,1,top_left,1,Yes,Small heart,2023-05-11 04:59:12,Yes,United States
60b8fb32cf60b9905fb72f17,size,3,bottom_left,2,No,Small cross,2023-05-11 04:59:12,Yes,United States
60b8fb32cf60b9905fb72f17,size,2,top_right,3,No,Large rectangle,2023-05-11 04:59:12,Yes,United States
631a8cf972615c1fc25fe501,size,1,top_right,0,No,A heart,2023-05-11 12:26:07,Yes,United States
631a8cf972615c1fc25fe501,size,3,bottom_left,1,No,a cross,2023-05-11 12:26:07,Yes,United States
631a8cf972615c1fc25fe501,size,2,bottom_right,2,Yes,a circle,2023-05-11 12:26:07,Yes,United States
631a8cf972615c1fc25fe501,size,4,top_left,3,Yes,a star,2023-05-11 12:26:07,Yes,United States
5f4aeb98fffa876b6ab5372d,size,1,top_right,0,No,Heart,2023-05-11 12:27:53,Yes,United States
5f4aeb98fffa876b6ab5372d,size,4,bottom_left,1,No,Diamond ,2023-05-11 12:27:53,Yes,United States
5f4aeb98fffa876b6ab5372d,size,2,top_left,2,Yes,Rectangle ,2023-05-11 12:27:53,Yes,United States
5f4aeb98fffa876b6ab5372d,size,3,bottom_right,3,Yes,Plus sign,2023-05-11 12:27:53,Yes,United States
60fd05e540846ba7851b2928,size,2,top_left,0,Yes,rectangle ,2023-05-11 12:28:21,Yes,United States
60fd05e540846ba7851b2928,size,3,bottom_right,1,Yes,cross,2023-05-11 12:28:21,Yes,United States
60fd05e540846ba7851b2928,size,4,bottom_left,2,No,diamond,2023-05-11 12:28:21,Yes,United States
60fd05e540846ba7851b2928,size,1,top_right,3,No,heart,2023-05-11 12:28:21,Yes,United States
5ffe168936fe8d478cbee469,size,1,bottom_left,0,No,Triangle,2023-05-11 12:30:19,Yes,United States
5ffe168936fe8d478cbee469,size,2,bottom_right,1,Yes,Circle,2023-05-11 12:30:19,Yes,United States
5ffe168936fe8d478cbee469,size,4,top_left,2,Yes,Star,2023-05-11 12:30:19,Yes,United States
5ffe168936fe8d478cbee469,size,3,top_right,3,No,Square,2023-05-11 12:30:19,Yes,United States
5df71357fa3d104ca3be3c62,size,2,bottom_right,0,Yes,Dot,2023-05-11 12:31:33,Yes,United States
5df71357fa3d104ca3be3c62,size,4,top_right,1,No,Star,2023-05-11 12:31:33,Yes,United States
5df71357fa3d104ca3be3c62,size,3,bottom_left,2,No,Cross,2023-05-11 12:31:33,Yes,United States
5df71357fa3d104ca3be3c62,size,1,top_left,3,Yes,Heart,2023-05-11 12:31:33,Yes,United States
60801aa3467fd2f54022f40d,size,1,top_left,0,Yes,Small heart,2023-05-11 12:35:28,Yes,United States
60801aa3467fd2f54022f40d,size,4,top_right,1,No,Large star,2023-05-11 12:35:28,Yes,United States
60801aa3467fd2f54022f40d,size,3,bottom_left,2,No,Large plus sign,2023-05-11 12:35:28,Yes,United States
60801aa3467fd2f54022f40d,size,2,bottom_right,3,Yes,Small circle ,2023-05-11 12:35:28,Yes,United States
60ae54561666056b2558ba4d,size,4,top_right,0,No,Star,2023-05-11 12:37:20,Yes,Other
60ae54561666056b2558ba4d,size,1,bottom_right,1,Yes,Triangle,2023-05-11 12:37:20,Yes,Other
60ae54561666056b2558ba4d,size,3,top_left,2,Yes,Square,2023-05-11 12:37:20,Yes,Other
60ae54561666056b2558ba4d,size,2,bottom_left,3,No,Circle,2023-05-11 12:37:20,Yes,Other
63f79732be04acbf7e39080f,size,4,bottom_left,0,No,Large Diamond,2023-05-11 12:37:26,Yes,United States
63f79732be04acbf7e39080f,size,3,top_left,1,Yes,Small square,2023-05-11 12:37:26,Yes,United States
63f79732be04acbf7e39080f,size,2,bottom_right,2,Yes,small circle,2023-05-11 12:37:26,Yes,United States
