participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
610cca28e74fbb8c330464b8,size,4,top_left,0,Yes,estrella,2023-05-11 04:58:25,Sí,México
610cca28e74fbb8c330464b8,size,1,bottom_left,1,No,triángulo,2023-05-11 04:58:25,Sí,México
610cca28e74fbb8c330464b8,size,2,top_right,2,No,rectángulo,2023-05-11 04:58:25,Sí,México
610cca28e74fbb8c330464b8,size,3,bottom_right,3,Yes,cruz,2023-05-11 04:58:25,Sí,México
613aa39321ee0e47931e4157,size,2,top_left,0,Yes,Rectangulo,2023-05-11 04:58:57,Sí,México
613aa39321ee0e47931e4157,size,1,bottom_right,1,Yes,Triangulo,2023-05-11 04:58:57,Sí,México
613aa39321ee0e47931e4157,size,3,top_right,2,No,Cuadrado,2023-05-11 04:58:57,Sí,México
613aa39321ee0e47931e4157,size,4,bottom_left,3,No,Rombo,2023-05-11 04:58:57,Sí,México
5f31de301a469e11624f7948,size,2,bottom_right,0,Yes,círculo,2023-05-11 04:59:25,Sí,México
5f31de301a469e11624f7948,size,1,bottom_left,1,No,triángulo,2023-05-11 04:59:25,Sí,México
5f31de301a469e11624f7948,size,4,top_left,2,Yes,estrella,2023-05-11 04:59:25,Sí,México
5f31de301a469e11624f7948,size,3,top_right,3,No,cuadrado,2023-05-11 04:59:25,Sí,México
60f75f26e3288c527b677c7c,size,4,bottom_right,0,Yes,rombo,2023-05-11 04:59:40,Sí,México
60f75f26e3288c527b677c7c,size,3,top_right,1,No,cuadrado,2023-05-11 04:59:40,Sí,México
60f75f26e3288c527b677c7c,size,2,bottom_left,2,No,circulo,2023-05-11 04:59:40,Sí,México
60f75f26e3288c527b677c7c,size,1,top_left,3,Yes,corazon,2023-05-11 04:59:40,Sí,México
606529ce14b2184a016c629d,size,1,bottom_right,0,Yes,triangulo,2023-05-11 04:59:56,Sí,México
606529ce14b2184a016c629d,size,2,top_left,1,Yes,rectangulo,2023-05-11 04:59:56,Sí,México
606529ce14b2184a016c629d,size,3,top_right,2,No,cuadrado,2023-05-11 04:59:56,Sí,México
606529ce14b2184a016c629d,size,4,bottom_left,3,No,rombo,2023-05-11 04:59:56,Sí,México
5b477fdb56e0140001ac7720,size,3,top_left,0,Yes,cuadrado,2023-05-11 12:25:45,Sí,México
5b477fdb56e0140001ac7720,size,2,bottom_right,1,Yes,circulo,2023-05-11 12:25:45,Sí,México
5b477fdb56e0140001ac7720,size,1,top_right,2,No,corazon,2023-05-11 12:25:45,Sí,México
5b477fdb56e0140001ac7720,size,4,bottom_left,3,No,rombo,2023-05-11 12:25:45,Sí,México
6140be2fdc5e6f433f412f7a,size,4,bottom_left,0,No,rombo,2023-05-11 12:26:33,Sí,Sudamérica
6140be2fdc5e6f433f412f7a,size,3,top_right,1,No,cuadrado,2023-05-11 12:26:33,Sí,Sudamérica
6140be2fdc5e6f433f412f7a,size,1,bottom_right,2,Yes,triangulo,2023-05-11 12:26:33,Sí,Sudamérica
6140be2fdc5e6f433f412f7a,size,2,top_left,3,Yes,rectángulo,2023-05-11 12:26:33,Sí,Sudamérica
60c013416fb774165eb9d00b,size,4,top_left,0,Yes,Estrella ,2023-05-11 12:30:26,Sí,México
60c013416fb774165eb9d00b,size,3,top_right,1,No,Cuadrado ,2023-05-11 12:30:26,Sí,México
60c013416fb774165eb9d00b,size,1,bottom_left,2,No,Triángulo ,2023-05-11 12:30:26,Sí,México
60c013416fb774165eb9d00b,size,2,bottom_right,3,Yes,Círculo ,2023-05-11 12:30:26,Sí,México
612d7b5dbc8a6457965c1034,size,1,top_left,0,Yes,corazon pequeño ,2023-05-11 12:30:42,Sí,México
612d7b5dbc8a6457965c1034,size,4,bottom_right,1,Yes,rombo negro,2023-05-11 12:30:42,Sí,México
612d7b5dbc8a6457965c1034,size,2,bottom_left,2,No,circulo grande ,2023-05-11 12:30:42,Sí,México
612d7b5dbc8a6457965c1034,size,3,top_right,3,No,Cuadro negro ,2023-05-11 12:30:42,Sí,México
6162bf42048363a56b08995e,size,4,bottom_right,0,Yes,rombo,2023-05-11 12:33:26,Sí,México
6162bf42048363a56b08995e,size,2,bottom_left,1,No,circulo,2023-05-11 12:33:26,Sí,México
6162bf42048363a56b08995e,size,1,top_left,2,Yes,corazon,2023-05-11 12:33:26,Sí,México
6162bf42048363a56b08995e,size,3,top_right,3,No,cuadrado,2023-05-11 12:33:26,Sí,México
60183e25b4423c05ee0ee791,size,1,top_left,0,Yes,"Corazón negro, pequeño y centrado",2023-05-11 12:34:06,Sí,México
60183e25b4423c05ee0ee791,size,4,bottom_right,1,Yes,"Rombo negro, pequeño y centrado",2023-05-11 12:34:06,Sí,México
60183e25b4423c05ee0ee791,size,2,bottom_left,2,No,"Circulo negro, grande",2023-05-11 12:34:06,Sí,México
60183e25b4423c05ee0ee791,size,3,top_right,3,No,"Cuadrado negro, grande",2023-05-11 12:34:06,Sí,México
611154c1278503776878d3ae,size,3,bottom_left,0,No,Cruz,2023-05-11 12:35:29,Sí,México
611154c1278503776878d3ae,size,2,top_right,1,No,Rectangulo,2023-05-11 12:35:29,Sí,México
611154c1278503776878d3ae,size,4,bottom_right,2,Yes,rombo,2023-05-11 12:35:29,Sí,México
611154c1278503776878d3ae,size,1,top_left,3,Yes,corazon,2023-05-11 12:35:29,Sí,México
60fdff45f8064acbac9fbd3c,size,4,top_left,0,Yes,estrella pequeña,2023-05-11 12:35:37,Sí,México
60fdff45f8064acbac9fbd3c,size,3,top_right,1,No,cuadrado,2023-05-11 12:35:37,Sí,México
60fdff45f8064acbac9fbd3c,size,2,bottom_left,2,No,circulo,2023-05-11 12:35:37,Sí,México
60fdff45f8064acbac9fbd3c,size,1,bottom_right,3,Yes,triangulo pequeño,2023-05-11 12:35:37,Sí,México
6168432c5662ef2b142ec095,size,4,bottom_left,0,No,Rombo,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,2,bottom_right,1,Yes,Circulo,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,1,top_right,2,No,Corazón ,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,3,top_left,3,Yes,Cuadrado ,2023-05-11 12:36:45,Sí,México
614b6e4a03ded5acfe2ef9b0,size,1,top_left,0,Yes,corazon,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,3,bottom_left,1,No,cruz,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,4,bottom_right,2,Yes,rombo,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,2,top_right,3,No,rectangulo,2023-05-11 12:37:25,Sí,México
5f2e09dd8b86e315a3525087,size,2,bottom_left,0,No,Círculo ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,3,top_left,1,Yes,Cuadrado ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,4,top_right,2,No,Estrella ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,1,bottom_right,3,Yes,Triangulo ,2023-05-11 12:38:48,Sí,México
61400425790ab5dbef568393,size,3,top_left,0,Yes,Cuadrado,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,2,bottom_left,1,No,Más grande ,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,4,top_right,2,No,Estrella ,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,1,bottom_right,3,Yes,Triángulo ,2023-05-11 12:39:47,Sí,México
6092f21eb483692c6ea09303,size,4,top_left,0,Yes,Estrella de 5 picos,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,2,bottom_left,1,No,Círculo,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,1,bottom_right,2,Yes,Tríangulo,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,3,top_right,3,No,Cuadrado,2023-05-11 12:40:05,Sí,México
5ff265688f62107122f931f2,size,4,top_right,0,No,Es una estrella grande negra con cinco picos,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,3,bottom_right,1,Yes,Eres una Cruz negra pequeña,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,2,bottom_left,2,No,Es un círculo grande negro,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,1,top_left,3,Yes,Es un corazoncito negro,2023-05-11 12:40:18,Sí,México
5d366eba9749cc00185c21fb,size,1,top_left,0,Yes,corazón ,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,4,top_right,1,No,estrella,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,2,bottom_right,2,Yes,circulo ,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,3,bottom_left,3,No,signo de más,2023-05-11 12:40:42,Sí,México
