participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
5f3f1ae9db53ff21046a35c4,color,2,top_right,0,No,rectangulo amarillo,2023-05-10 19:45:48,Sí,México
5f3f1ae9db53ff21046a35c4,color,4,bottom_left,1,Yes,corazon rojo,2023-05-10 19:45:48,Sí,México
5f3f1ae9db53ff21046a35c4,color,3,bottom_right,2,No,triangulo amarillo,2023-05-10 19:45:48,Sí,México
5f3f1ae9db53ff21046a35c4,color,1,top_left,3,Yes,cuadrado azul,2023-05-10 19:45:48,Sí,México
545d37b5fdf99b7f9fca22cb,color,2,bottom_right,0,No,Círculo amarillo ,2023-05-10 19:46:00,Sí,México
545d37b5fdf99b7f9fca22cb,color,3,top_right,1,No,Rectángulo amarillo ,2023-05-10 19:46:00,Sí,México
545d37b5fdf99b7f9fca22cb,color,1,top_left,2,Yes,Cuadro azul,2023-05-10 19:46:00,Sí,México
545d37b5fdf99b7f9fca22cb,color,4,bottom_left,3,Yes,Corazón rojo ,2023-05-10 19:46:00,Sí,México
5f9baf2a2613ea3ea295875b,color,1,bottom_right,0,No,Triángulo,2023-05-10 19:46:03,Sí,México
5f9baf2a2613ea3ea295875b,color,4,top_left,1,Yes,Rombo,2023-05-10 19:46:03,Sí,México
5f9baf2a2613ea3ea295875b,color,2,top_right,2,No,Rectángulo,2023-05-10 19:46:03,Sí,México
5f9baf2a2613ea3ea295875b,color,3,bottom_left,3,Yes,Círculo,2023-05-10 19:46:03,Sí,México
6121bf2dcd62398f2607538e,color,3,bottom_right,0,No,Triangulo,2023-05-10 19:47:29,Sí,México
6121bf2dcd62398f2607538e,color,1,top_left,1,Yes,Cuadrado,2023-05-10 19:47:29,Sí,México
6121bf2dcd62398f2607538e,color,2,bottom_left,2,Yes,Cuadrado,2023-05-10 19:47:29,Sí,México
6121bf2dcd62398f2607538e,color,4,top_right,3,No,Rectángulo,2023-05-10 19:47:29,Sí,México
613a9c2153379fe7b9cb1ae4,color,4,bottom_right,0,No,cruz morada,2023-05-10 19:53:05,Sí,México
613a9c2153379fe7b9cb1ae4,color,1,top_left,1,Yes,cuadrado azul,2023-05-10 19:53:05,Sí,México
613a9c2153379fe7b9cb1ae4,color,3,top_right,2,No,rectángulo amarillo,2023-05-10 19:53:05,Sí,México
613a9c2153379fe7b9cb1ae4,color,2,bottom_left,3,Yes,cuadrado rosa,2023-05-10 19:53:05,Sí,México
5ed5c67a751f9814f8ffd344,color,1,top_right,0,No,Sol,2023-05-11 05:32:32,Sí,México
5ed5c67a751f9814f8ffd344,color,3,top_left,1,Yes,Estrella,2023-05-11 05:32:32,Sí,México
5ed5c67a751f9814f8ffd344,color,2,bottom_right,2,No,Circulo,2023-05-11 05:32:32,Sí,México
5ed5c67a751f9814f8ffd344,color,4,bottom_left,3,Yes,Corazon,2023-05-11 05:32:32,Sí,México
612f0b6e7e79ca1b544a064d,color,4,top_right,0,No,rectangulo naranja,2023-05-11 05:32:37,Sí,México
612f0b6e7e79ca1b544a064d,color,2,bottom_left,1,Yes,cuadrado rosa,2023-05-11 05:32:37,Sí,México
612f0b6e7e79ca1b544a064d,color,1,top_left,2,Yes,cuadrado azul,2023-05-11 05:32:37,Sí,México
612f0b6e7e79ca1b544a064d,color,3,bottom_right,3,No,triangulo amarillo,2023-05-11 05:32:37,Sí,México
5b9858a3fe82f50001caef03,color,2,top_left,0,Yes,Rectángulo ,2023-05-11 05:33:48,Sí,México
5b9858a3fe82f50001caef03,color,1,bottom_right,1,No,Triángulo ,2023-05-11 05:33:48,Sí,México
5b9858a3fe82f50001caef03,color,4,bottom_left,2,Yes,Coranzon,2023-05-11 05:33:48,Sí,México
5b9858a3fe82f50001caef03,color,3,top_right,3,No,Rectángulo ,2023-05-11 05:33:48,Sí,México
5f865068c610bb1a22e5777f,color,3,bottom_right,0,No,Triangulo,2023-05-11 05:33:53,Sí,México
5f865068c610bb1a22e5777f,color,1,top_left,1,Yes,Cuadrado,2023-05-11 05:33:53,Sí,México
5f865068c610bb1a22e5777f,color,4,bottom_left,2,Yes,Corazon,2023-05-11 05:33:53,Sí,México
5f865068c610bb1a22e5777f,color,2,top_right,3,No,Rectangulo,2023-05-11 05:33:53,Sí,México
61398af150009abfadd029b4,color,2,bottom_right,0,No,circulo amarillo,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,3,top_right,1,No,rectángulo amarillo ,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,4,top_left,2,Yes,rombo gris ,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,1,bottom_left,3,Yes,corazón morado ,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,2,bottom_right,0,No,circulo amarillo,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,3,top_right,1,No,rectángulo amarillo ,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,4,top_left,2,Yes,rombo gris ,2023-05-11 05:33:54,Sí,México
61398af150009abfadd029b4,color,1,bottom_left,3,Yes,corazón morado ,2023-05-11 05:33:54,Sí,México
615a7ceb2684470628034f10,color,4,bottom_right,0,No,cruz morada ,2023-05-11 05:33:58,Sí,México
615a7ceb2684470628034f10,color,1,top_left,1,Yes,cuadrado azul,2023-05-11 05:33:58,Sí,México
615a7ceb2684470628034f10,color,2,top_right,2,No,rectángulo amarillo,2023-05-11 05:33:58,Sí,México
615a7ceb2684470628034f10,color,3,bottom_left,3,Yes,círculo gris,2023-05-11 05:33:58,Sí,México
5f9ce576aa0c561f3011d587,color,3,top_right,0,No,rectangulo amarillo,2023-05-11 05:34:14,Sí,México
5f9ce576aa0c561f3011d587,color,1,bottom_left,1,Yes,corazon morado,2023-05-11 05:34:14,Sí,México
5f9ce576aa0c561f3011d587,color,2,bottom_right,2,No,Circulo amarillo,2023-05-11 05:34:14,Sí,México
5f9ce576aa0c561f3011d587,color,4,top_left,3,Yes,rombo gris,2023-05-11 05:34:14,Sí,México
58f82417edbd82000169bce8,color,2,top_left,0,Yes,rectangulo,2023-05-11 05:34:16,Sí,México
58f82417edbd82000169bce8,color,4,top_right,1,No,rectangulo,2023-05-11 05:34:16,Sí,México
58f82417edbd82000169bce8,color,3,bottom_left,2,Yes,circulo,2023-05-11 05:34:16,Sí,México
58f82417edbd82000169bce8,color,1,bottom_right,3,No,triangulo,2023-05-11 05:34:16,Sí,México
5e8fd165f3d8212cd90e0d4d,color,3,top_left,0,Yes,Estrella,2023-05-11 05:34:17,Sí,México
5e8fd165f3d8212cd90e0d4d,color,2,top_right,1,No,Rectangulo,2023-05-11 05:34:17,Sí,México
5e8fd165f3d8212cd90e0d4d,color,1,bottom_left,2,Yes,Corazón,2023-05-11 05:34:17,Sí,México
5e8fd165f3d8212cd90e0d4d,color,4,bottom_right,3,No,Cruz,2023-05-11 05:34:17,Sí,México
615ddb0c6adce920fbb53a2d,color,3,top_left,0,Yes,Estrella,2023-05-11 05:34:20,Sí,México
615ddb0c6adce920fbb53a2d,color,4,bottom_left,1,Yes,Corazón,2023-05-11 05:34:20,Sí,México
615ddb0c6adce920fbb53a2d,color,2,bottom_right,2,No,Círculo,2023-05-11 05:34:20,Sí,México
615ddb0c6adce920fbb53a2d,color,1,top_right,3,No,Sol,2023-05-11 05:34:20,Sí,México
5ac9c4415cd1050001626162,color,4,bottom_right,0,No,cruz morada,2023-05-11 05:34:22,Sí,México
5ac9c4415cd1050001626162,color,3,top_right,1,No,rectángulo amarillo,2023-05-11 05:34:22,Sí,México
5ac9c4415cd1050001626162,color,2,bottom_left,2,Yes,cuadrado rosa,2023-05-11 05:34:22,Sí,México
5ac9c4415cd1050001626162,color,1,top_left,3,Yes,cuadrado azul,2023-05-11 05:34:22,Sí,México
613a7ac93ea070f8868f6bfe,color,1,top_right,0,No,sol,2023-05-11 05:34:26,Sí,México
613a7ac93ea070f8868f6bfe,color,4,bottom_left,1,Yes,Corazón,2023-05-11 05:34:26,Sí,México
613a7ac93ea070f8868f6bfe,color,2,top_left,2,Yes,Rectángulo,2023-05-11 05:34:26,Sí,México
613a7ac93ea070f8868f6bfe,color,3,bottom_right,3,No,Triángulo,2023-05-11 05:34:26,Sí,México
613a7cec45896f69199c2a20,color,2,bottom_right,0,No,circulo,2023-05-11 05:34:29,Sí,México
613a7cec45896f69199c2a20,color,1,bottom_left,1,Yes,corazon,2023-05-11 05:34:29,Sí,México
613a7cec45896f69199c2a20,color,3,top_right,2,No,rectangulo,2023-05-11 05:34:29,Sí,México
613a7cec45896f69199c2a20,color,4,top_left,3,Yes,rombo,2023-05-11 05:34:29,Sí,México
5b89d11c19110c0001eb75e5,color,4,bottom_right,0,No,cruz,2023-05-11 05:34:39,Sí,México
5b89d11c19110c0001eb75e5,color,3,bottom_left,1,Yes,circulo,2023-05-11 05:34:39,Sí,México
5b89d11c19110c0001eb75e5,color,1,top_right,2,No,sol,2023-05-11 05:34:39,Sí,México
5b89d11c19110c0001eb75e5,color,2,top_left,3,Yes,rectangulo,2023-05-11 05:34:39,Sí,México
60b65dd419636fbf792d4470,color,4,bottom_right,0,No,Cruz morada,2023-05-11 05:34:50,Sí,México
60b65dd419636fbf792d4470,color,1,bottom_left,1,Yes,Corazón morado,2023-05-11 05:34:50,Sí,México
60b65dd419636fbf792d4470,color,3,top_left,2,Yes,Estrella rosa,2023-05-11 05:34:50,Sí,México
60b65dd419636fbf792d4470,color,2,top_right,3,No,Rectángulo amarillo,2023-05-11 05:34:50,Sí,México
5ff25479e1506a2621738db2,color,3,bottom_left,0,Yes,Círculo gris,2023-05-11 05:34:53,Sí,México
5ff25479e1506a2621738db2,color,1,bottom_right,1,No,Triángulo rosado,2023-05-11 05:34:53,Sí,México
5ff25479e1506a2621738db2,color,2,top_right,2,No,Rectángulo amarillo,2023-05-11 05:34:53,Sí,México
5ff25479e1506a2621738db2,color,4,top_left,3,Yes,Diamante gris,2023-05-11 05:34:53,Sí,México
60bff62d82d796cabcf1958e,color,3,bottom_right,0,No,Triangulo amarillo,2023-05-11 05:34:56,Sí,México
60bff62d82d796cabcf1958e,color,2,top_left,1,Yes,Rectangulo acostado rosa,2023-05-11 05:34:56,Sí,México
60bff62d82d796cabcf1958e,color,1,top_right,2,No,Sol café,2023-05-11 05:34:56,Sí,México
60bff62d82d796cabcf1958e,color,4,bottom_left,3,Yes,Corazón rojo,2023-05-11 05:34:56,Sí,México
6013bc0e9807112845bb1556,color,3,bottom_right,0,No,Triángulo,2023-05-11 05:34:56,Sí,México
6013bc0e9807112845bb1556,color,2,bottom_left,1,Yes,Cuadrado,2023-05-11 05:34:56,Sí,México
6013bc0e9807112845bb1556,color,1,top_left,2,Yes,Cuadrado ,2023-05-11 05:34:56,Sí,México
6013bc0e9807112845bb1556,color,4,top_right,3,No,Rectángulo,2023-05-11 05:34:56,Sí,México
